feature_name,physical_meaning,unit,dataset_availability,vehicle_dependence,causal_status,generalizability_status,notes
current_soc_pct,State of charge percentage,%,DEVRT(TUM,JAC),LOW,"physical electrochemical state","conditionally generalizable","SOC range 0-100% is universal; magnitude varies by battery size but pattern is reproducible across EVs. Critical feature.
battery_capacity_kwh,Usable battery capacity,kWh,DEVRT(partial TUM),HIGH,"physical design parameter","NOT generalizable","Dacia: ~33 kWh vs Nissan: ~59 kWh vs JAC: unknown. Feature value is highly vehicle-specific; cannot be derived from other measurements.
current_altitude_m,Current GPS altitude,m,DEVRT(TUM partial),MEDIUM,"physical height above sea level","generalizable","Altitude above sea level is universal physical quantity. Values vary by route but pattern is reproducible.
past_1km_gradient_pct,1 km percentage gradient,%,DEVRT,MEDIUM,"physical slope metric","conditionally generalizable","Slope percentage is a universal driving condition. Uphill/downhill/flat patterns are reproducible across vehicles.
current_speed_kmh,Current vehicle speed,km/h,DEVRT(TUM partial),HIGH,"physical speed metric","NOT generalizable","Mean speed differs drastically: Dacia ~85 km/h vs Nissan ~59 km/h. Speed distribution is vehicle-class specific.
current_ambient_temperature_c,Ambient air temperature,°C,DEVRT(TUM partial),LOW,"physical temperature","generalizable","Air temperature is a universal environmental condition. Same value applies to all vehicles on same route.
current_motor_power_kw,Current motor power output,kW,DEVRT,MEDIUM,"physical powertrain parameter","partially generalizable","Motor power rating is vehicle-specific (Dacia: 10.8 kW vs Nissan: 7.0 kW). Instantaneous power flow is universal but rated power is not.
past_mean_speed_kmh,Mean speed over past km,km/h,DEVRT,MEDIUM,"historical speed metric","conditionally generalizable","Pattern is reproducible if speed distribution is similar. Dacia/Nissan disparity limits generalizability.
past_speed_std,Speed standard deviation over past km,km/h,DEVRT,LOW,"speed variability metric","conditionally generalizable","Variability pattern is somewhat universal but magnitude varies by vehicle class.
past_mean_acceleration_mps2,Mean acceleration over past km,m/s²,DEVRT,MEDIUM,"historical acceleration metric","conditionally generalizable","Acceleration pattern is physically grounded but sign/magnitude varies by vehicle/torque profile.
terrain_class,Route terrain classification,enum,DEVRT only,LOW,"route classification","NOT generalizable","Explicit route terrain class is DEVRT-specific; TUM/JAC have no equivalent. Cannot be derived from raw features.
current_speed_kmh (instant),Instantaneous speed,km/h,DEVRT(TUM,JAC),MEDIUM,"instantaneous physical metric","generalizable","Instant speed value is universally measurable and its consumption effect is reproducible across vehicles.
battery_capacity_kwh (derived),Battery capacity normalized consumption,kWh/10km,THEORETICAL only,VERY HIGH,"normalized consumption","NOT generalizable without normalization","Would require dividing by battery capacity. Without normalization, feature is vehicle-specific. With normalization, could be generalizable."

universal_onboard_features,Features that are physically universal and reproduce across EVs,DEVRT,TUM,JAC potential,physical laws apply to all EVs,speed,altitude,temperature,SOC (within 0-100%),gradient
vehicle_metadata_features,Features that are vehicle-specific and cannot be generalized,DEVRT only,battery_capacity_kwh,motor_power_kw,speed distribution,vehicle design parameters,not reproducible without per-vehicle data
route_aware_features,Features requiring planned route + DEM data,DEVRT only,terrain_profile_features,next_1km_net_elev_m,next_1km_gradient_pct,next_1km_gain_m,next_1km_loss_m,next_1km_uphill_frac,next_1km_downhill_flat_frac,require GPS+DEM integration,not available on all vehicles
dataset_specific_features,Features available only in specific datasets,DEVRT only (102 features),many 102 features,JAC unavailable (SOC,VOL,CUR unknown),TUM unavailable (GPS/altitude missing),route-specific
features_requireing_unavailable_sensors,SOC unverified, VOL unverified, CUR unavailable,JAC: SOC,VOL,CUR,TUM: GPS altitude,per-timestamp distance,canNOT be generalized,frozen model requires these; cannot fabricate
